Date,Open,High,Low,Close,Volume
201708171345,10.65,10.65,10.63,10.63,25
201708171346,10.64,10.64,10.63,10.63,242
201708171347,10.63,10.64,10.63,10.64,91
201708171348,10.63,10.64,10.63,10.64,155
201708171349,10.63,10.65,10.63,10.65,91
201708171350,10.65,10.65,10.63,10.64,277
201708171351,10.64,10.65,10.63,10.63,104
201708171352,10.62,10.63,10.61,10.61,422
201708171353,10.61,10.63,10.6,10.61,143
201708171354,10.63,10.63,10.61,10.61,91
201708171355,10.61,10.64,10.61,10.64,202
201708171356,10.63,10.64,10.63,10.64,9
201708171357,10.64,10.64,10.63,10.63,64
201708171358,10.64,10.66,10.63,10.63,56
201708171359,10.62,10.62,10.61,10.61,376
201708171400,10.61,10.64,10.6,10.6,1232
201708171401,10.6,10.6,10.59,10.59,558
201708171402,10.58,10.59,10.58,10.59,220
201708171403,10.58,10.59,10.58,10.58,155
201708171404,10.58,10.59,10.58,10.59,78
201708171405,10.59,10.59,10.58,10.59,153
201708171406,10.59,10.59,10.58,10.59,180
201708171407,10.59,10.6,10.59,10.6,18
201708171408,10.62,10.62,10.61,10.61,14
201708171409,10.62,10.62,10.61,10.61,121
201708171410,10.61,10.61,10.61,10.61,65
201708171411,10.62,10.62,10.59,10.59,203
201708171412,10.59,10.6,10.59,10.59,136
201708171413,10.58,10.59,10.58,10.59,66
201708171414,10.6,10.61,10.6,10.61,13
201708171415,10.61,10.61,10.59,10.59,32
201708171416,10.59,10.6,10.59,10.6,127
201708171417,10.59,10.6,10.59,10.6,644
201708171418,10.6,10.61,10.6,10.61,75
201708171419,10.61,10.61,10.6,10.61,79
201708171420,10.6,10.62,10.6,10.62,149
201708171421,10.62,10.62,10.62,10.62,55
201708171422,10.61,10.62,10.61,10.62,158
201708171423,10.61,10.62,10.61,10.61,139
201708171424,10.61,10.62,10.61,10.62,220
201708171425,10.61,10.62,10.61,10.61,45
201708171426,10.62,10.62,10.61,10.61,113
201708171427,10.62,10.65,10.61,10.65,181
201708171428,10.66,10.69,10.65,10.69,611
201708171429,10.7,10.7,10.66,10.66,519
201708171430,10.65,10.7,10.65,10.65,1289
201708171431,10.65,10.65,10.63,10.63,259
201708171432,10.63,10.64,10.63,10.63,278
201708171433,10.64,10.64,10.63,10.63,27
201708171434,10.63,10.64,10.63,10.64,117
201708171435,10.63,10.64,10.63,10.64,527
201708171436,10.63,10.68,10.63,10.68,612
201708171437,10.7,10.74,10.7,10.74,432
201708171438,10.74,10.75,10.69,10.7,208
201708171439,10.73,10.73,10.69,10.69,190
201708171440,10.69,10.69,10.68,10.69,39
201708171441,10.69,10.7,10.69,10.69,157
201708171442,10.69,10.7,10.69,10.7,98
201708171443,10.69,10.7,10.69,10.69,301
201708171444,10.69,10.7,10.69,10.69,164
201708171445,10.7,10.7,10.68,10.68,199
201708171446,10.68,10.68,10.67,10.67,96
201708171447,10.67,10.68,10.67,10.67,63
201708171448,10.67,10.68,10.66,10.66,312
201708171449,10.67,10.68,10.67,10.67,72
201708171450,10.67,10.68,10.67,10.67,593
201708171451,10.67,10.69,10.67,10.69,222
201708171452,10.68,10.69,10.68,10.69,107
201708171453,10.69,10.69,10.68,10.69,236
201708171454,10.69,10.7,10.69,10.69,352
201708171455,10.7,10.7,10.68,10.68,536
201708171456,10.69,10.69,10.68,10.69,578
201708171457,10.69,10.7,10.69,10.69,308
201708171458,10.69,10.69,10.68,10.69,401
201708171459,10.69,10.73,10.69,10.73,1243
201708171500,10.73,10.74,10.71,10.72,603
201708180931,10.93,10.93,10.87,10.92,16993
201708180932,10.93,11.03,10.93,11.03,3713
201708180933,11,11,10.95,10.97,5081
201708180934,10.96,11.02,10.96,11.02,7388
201708180935,11.05,11.11,11.04,11.07,7517
201708180936,11.07,11.07,10.97,11.03,3860
201708180937,11.02,11.04,10.94,10.94,3623
201708180938,10.94,10.94,10.89,10.9,1434
201708180939,10.9,10.93,10.88,10.9,2165
201708180940,10.9,10.91,10.89,10.9,1199
201708180941,10.91,10.91,10.8,10.85,2487
201708180942,10.83,10.83,10.8,10.8,1136
201708180943,10.82,10.83,10.81,10.81,1044
201708180944,10.81,10.83,10.79,10.79,1198
201708180945,10.78,10.8,10.78,10.8,698
201708180946,10.79,10.83,10.79,10.83,275
201708180947,10.83,10.85,10.82,10.85,378
201708180948,10.85,10.87,10.84,10.86,1295
201708180949,10.87,10.92,10.87,10.9,590
201708180950,10.91,10.93,10.9,10.93,1010
201708180951,10.92,10.93,10.91,10.91,600
201708180952,10.91,10.92,10.9,10.9,1126
201708180953,10.88,10.9,10.88,10.88,180
201708180954,10.88,10.88,10.87,10.88,254
201708180955,10.89,10.91,10.89,10.91,528
201708180956,10.91,10.91,10.9,10.9,321
201708180957,10.91,10.91,10.9,10.9,294
201708180958,10.9,10.91,10.89,10.89,137
201708180959,10.89,10.89,10.88,10.88,226
201708181000,10.88,10.88,10.86,10.86,117
201708181001,10.86,10.89,10.86,10.89,276
201708181002,10.88,10.9,10.88,10.9,562
201708181003,10.92,10.92,10.89,10.9,410
201708181004,10.91,10.92,10.9,10.92,2733
201708181005,10.92,10.92,10.9,10.91,309
201708181006,10.91,10.92,10.91,10.92,180
201708181007,10.92,10.92,10.91,10.91,544
201708181008,10.91,10.91,10.9,10.91,105
201708181009,10.91,10.92,10.9,10.92,252
201708181010,10.91,10.93,10.91,10.93,1273
201708181011,10.93,10.95,10.92,10.95,298
201708181012,10.96,10.98,10.95,10.97,449
201708181013,10.97,10.98,10.96,10.97,447
201708181014,10.97,10.98,10.96,10.96,306
201708181015,10.96,10.97,10.96,10.96,574
201708181016,10.96,10.96,10.94,10.95,539
201708181017,10.94,10.95,10.91,10.91,478
201708181018,10.92,10.93,10.91,10.91,185
201708181019,10.91,10.93,10.91,10.93,162
201708181020,10.93,10.94,10.93,10.94,202
201708181021,10.93,10.94,10.92,10.93,363
201708181022,10.92,10.93,10.92,10.92,195
201708181023,10.92,10.92,10.91,10.91,167
201708181024,10.91,10.91,10.9,10.91,93
201708181025,10.93,10.93,10.91,10.93,134
201708181026,10.92,10.93,10.91,10.93,280
201708181027,10.93,10.93,10.93,10.93,196
201708181028,10.91,10.91,10.91,10.91,114
201708181029,10.9,10.91,10.9,10.9,188
201708181030,10.92,10.93,10.91,10.93,15
201708181031,10.93,10.95,10.93,10.95,306
201708181032,10.94,10.95,10.94,10.94,156
201708181033,10.94,10.95,10.94,10.95,172
201708181034,10.96,10.96,10.95,10.95,150
201708181035,10.96,10.96,10.94,10.94,323
201708181036,10.95,10.95,10.9,10.9,431
201708181037,10.94,10.95,10.94,10.95,199
201708181038,10.94,10.94,10.91,10.94,333
201708181039,10.93,10.93,10.92,10.92,70
201708181040,10.92,10.94,10.92,10.93,169
